Title,Company,Location,Type,Posted,Link
Director of Should Cost & Competitive Benchmarking,Safran Electronics & Defense,Irvine,Permanent contract,2 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/director-of-should-cost-competitive-benchmarking_irvine
"Strategy and Operations Principal, Partner Operations",Via,Fort Worth,Permanent contract,2 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/strategy-and-operations-principal-partner-operations_fort-worth
General Manager,Via,Fort Worth,Permanent contract,2 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/general-manager_london_VIA_JpG0VAR
Bid Writer - US,Sweep,Denver,Permanent contract,5 days ago,https://www.welcometothejungle.com/en/companies/sweep-1/jobs/bid-writer-us_denver
"Assistant Manager, Miami",Hermès,Miami,Permanent contract,4 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-miami_miami_HERMS_9G7GRW0
"Managing Director, Short Hills",Hermès,Short Hills,Permanent contract,5 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/managing-director-short-hills_short-hills_HERMS_qxbJpXN
AI deployment architect - New York,MakiPeople,New York,Permanent contract,3 days ago,https://www.welcometothejungle.com/en/companies/maki/jobs/ai-deployment-architect-new-york_new-york
"Research Engineer, Machine Learning",Mistral Ai,Palo Alto,Permanent contract,5 days ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/research-engineer-machine-learning_palo-alto
Team Leader,MSX International,Southfield,Permanent contract,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/team-leader_southfield
Concrete Batch Plant Superintendent M/F M/F,VINCI Construction,Norfolk,Permanent contract,5 days ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/concrete-batch-plant-superintendent-m-f-m-f_norfolk
"VP, Liquidity Reporting Analyst",Crédit Agricole CIB,New York,Permanent contract,3 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-liquidity-reporting-analyst_new-york
"Vice President, Senior ALM Specialist",Crédit Agricole CIB,New York,Permanent contract,3 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vice-president-senior-alm-specialist_new-york
"VP, Regulatory Reporting Analyst",Crédit Agricole CIB,New York,Permanent contract,5 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-regulatory-reporting-analyst_new-york
Plant Manager,Socomec,Crystal Lake,Permanent contract,3 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/plant-manager_crystal-lake_SOCOM_rgmNyO
Plant Manager,Socomec,Crystal Lake,Permanent contract,4 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/plant-manager_crystal-lake
Principal Planner (Remix),Via,New York,Permanent contract,4 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/principal-planner-remix_new-york
